"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
9.8,9.6,-0.5,0.51116,0,0,0
10,9.6,-0.5,0.5,0,0,0
10.2,9.6,-0.5,0.48884,0,0,0
10.4,9.6,-0.5,0.47769,0,0,0
10.6,9.6,-0.5,0.46657,0,0,0
10.8,9.6,-0.5,0.45548,0,0,0
11,9.6,-0.5,0.44444,0,0,0
11.2,9.6,-0.5,0.43346,0,0,0
11.4,9.6,-0.5,0.42255,0,0,0
11.6,9.6,-0.5,0.41172,0,0,0
11.8,9.6,-0.5,0.40098,0,0,0
12,9.6,-0.5,0.39035,0,0,0
12.2,9.6,-0.5,0.37983,0,0,0
12.4,9.6,-0.5,0.36944,0,0,0
12.6,9.6,-0.5,0.35918,0,0,0
12.8,9.6,-0.5,0.34907,0,0,0
13,9.6,-0.5,0.33912,0,0,0
13.2,9.6,-0.5,0.32933,0,0,0
13.4,9.6,-0.5,0.31972,0,0,0
13.6,9.6,-0.5,0.31029,0,0,0
13.8,9.6,-0.5,0.30107,0,0,0
14,9.6,-0.5,0.29204,0,0,0
14.2,9.6,-0.5,0.28323,0,0,0
14.4,9.6,-0.5,0.27464,0,0,0
14.6,9.6,-0.5,0.26628,0,0,0
14.8,9.6,-0.5,0.25816,0,0,0
15,9.6,-0.5,0.25028,0,0,0
15.2,9.6,-0.5,0.24266,0,0,0
15.4,9.6,-0.5,0.23529,0,0,0
15.6,9.6,-0.5,0.22819,0,0,0
15.8,9.6,-0.5,0.22136,0,0,0
16,9.6,-0.5,0.21481,0,0,0
16.2,9.6,-0.5,0.20855,0,0,0
16.4,9.6,-0.5,0.20257,0,0,0
16.6,9.6,-0.5,0.19689,0,0,0
16.8,9.6,-0.5,0.19151,0,0,0
17,9.6,-0.5,0.18643,0,0,0
17.2,9.6,-0.5,0.18166,0,0,0
17.4,9.6,-0.5,0.1772,0,0,0
17.6,9.6,-0.5,0.17306,0,0,0
17.8,9.6,-0.5,0.16924,0,0,0
18,9.6,-0.5,0.16574,0,0,0
18.2,9.6,-0.5,0.16256,0,0,0
18.4,9.6,-0.5,0.15971,0,0,0
18.6,9.6,-0.5,0.1572,0,0,0
18.8,9.6,-0.5,0.15501,0,0,0
19,9.6,-0.5,0.15316,0,0,0
19.2,9.6,-0.5,0.15164,0,0,0
19.4,9.6,-0.5,0.15046,0,0,0
19.6,9.6,-0.5,0.14962,0,0,0
19.8,9.6,-0.5,0.14912,0,0,0
20,9.6,-0.5,0.14895,0,0,0
0,9.8,-0.5,0.85106,0,0,0
0.2,9.8,-0.5,0.85089,0,0,0
0.4,9.8,-0.5,0.85039,0,0,0
0.6,9.8,-0.5,0.84954,0,0,0
0.8,9.8,-0.5,0.84836,0,0,0
1,9.8,-0.5,0.84685,0,0,0
1.2,9.8,-0.5,0.84499,0,0,0
1.4,9.8,-0.5,0.84281,0,0,0
1.6,9.8,-0.5,0.84029,0,0,0
1.8,9.8,-0.5,0.83744,0,0,0
2,9.8,-0.5,0.83427,0,0,0
2.2,9.8,-0.5,0.83077,0,0,0
2.4,9.8,-0.5,0.82694,0,0,0
2.6,9.8,-0.5,0.8228,0,0,0
2.8,9.8,-0.5,0.81834,0,0,0
3,9.8,-0.5,0.81357,0,0,0
3.2,9.8,-0.5,0.8085,0,0,0
3.4,9.8,-0.5,0.80311,0,0,0
3.6,9.8,-0.5,0.79743,0,0,0
3.8,9.8,-0.5,0.79146,0,0,0
4,9.8,-0.5,0.78519,0,0,0
4.2,9.8,-0.5,0.77864,0,0,0
4.4,9.8,-0.5,0.77181,0,0,0
4.6,9.8,-0.5,0.76471,0,0,0
4.8,9.8,-0.5,0.75734,0,0,0
5,9.8,-0.5,0.74972,0,0,0
5.2,9.8,-0.5,0.74184,0,0,0
5.4,9.8,-0.5,0.73372,0,0,0
5.6,9.8,-0.5,0.72536,0,0,0
5.8,9.8,-0.5,0.71677,0,0,0
6,9.8,-0.5,0.70796,0,0,0
6.2,9.8,-0.5,0.69893,0,0,0
6.4,9.8,-0.5,0.6897,0,0,0
6.6,9.8,-0.5,0.68028,0,0,0
6.8,9.8,-0.5,0.67067,0,0,0
7,9.8,-0.5,0.66088,0,0,0
7.2,9.8,-0.5,0.65093,0,0,0
7.4,9.8,-0.5,0.64082,0,0,0
7.6,9.8,-0.5,0.63056,0,0,0
7.8,9.8,-0.5,0.62017,0,0,0
8,9.8,-0.5,0.60965,0,0,0
8.2,9.8,-0.5,0.59901,0,0,0
8.4,9.8,-0.5,0.58828,0,0,0
8.6,9.8,-0.5,0.57745,0,0,0
8.8,9.8,-0.5,0.56653,0,0,0
9,9.8,-0.5,0.55555,0,0,0
9.2,9.8,-0.5,0.54451,0,0,0
9.4,9.8,-0.5,0.53342,0,0,0
9.6,9.8,-0.5,0.5223,0,0,0
9.8,9.8,-0.5,0.51116,0,0,0
10,9.8,-0.5,0.5,0,0,0
10.2,9.8,-0.5,0.48884,0,0,0
10.4,9.8,-0.5,0.47769,0,0,0
10.6,9.8,-0.5,0.46657,0,0,0
10.8,9.8,-0.5,0.45549,0,0,0
11,9.8,-0.5,0.44444,0,0,0
11.2,9.8,-0.5,0.43346,0,0,0
11.4,9.8,-0.5,0.42255,0,0,0
11.6,9.8,-0.5,0.41172,0,0,0
11.8,9.8,-0.5,0.40098,0,0,0
12,9.8,-0.5,0.39035,0,0,0
12.2,9.8,-0.5,0.37983,0,0,0
12.4,9.8,-0.5,0.36944,0,0,0
12.6,9.8,-0.5,0.35918,0,0,0
12.8,9.8,-0.5,0.34907,0,0,0
13,9.8,-0.5,0.33912,0,0,0
13.2,9.8,-0.5,0.32933,0,0,0
13.4,9.8,-0.5,0.31972,0,0,0
13.6,9.8,-0.5,0.3103,0,0,0
13.8,9.8,-0.5,0.30107,0,0,0
14,9.8,-0.5,0.29204,0,0,0
14.2,9.8,-0.5,0.28323,0,0,0
14.4,9.8,-0.5,0.27464,0,0,0
14.6,9.8,-0.5,0.26628,0,0,0
14.8,9.8,-0.5,0.25816,0,0,0
15,9.8,-0.5,0.25028,0,0,0
15.2,9.8,-0.5,0.24266,0,0,0
15.4,9.8,-0.5,0.23529,0,0,0
15.6,9.8,-0.5,0.22819,0,0,0
15.8,9.8,-0.5,0.22136,0,0,0
16,9.8,-0.5,0.21481,0,0,0
16.2,9.8,-0.5,0.20855,0,0,0
16.4,9.8,-0.5,0.20257,0,0,0
16.6,9.8,-0.5,0.19689,0,0,0
16.8,9.8,-0.5,0.19151,0,0,0
17,9.8,-0.5,0.18643,0,0,0
17.2,9.8,-0.5,0.18166,0,0,0
17.4,9.8,-0.5,0.1772,0,0,0
17.6,9.8,-0.5,0.17306,0,0,0
17.8,9.8,-0.5,0.16924,0,0,0
18,9.8,-0.5,0.16574,0,0,0
18.2,9.8,-0.5,0.16256,0,0,0
18.4,9.8,-0.5,0.15972,0,0,0
18.6,9.8,-0.5,0.1572,0,0,0
18.8,9.8,-0.5,0.15501,0,0,0
19,9.8,-0.5,0.15316,0,0,0
19.2,9.8,-0.5,0.15165,0,0,0
19.4,9.8,-0.5,0.15047,0,0,0
19.6,9.8,-0.5,0.14962,0,0,0
19.8,9.8,-0.5,0.14912,0,0,0
20,9.8,-0.5,0.14895,0,0,0
0,10,-0.5,0.85106,0,0,0
0.2,10,-0.5,0.85089,0,0,0
0.4,10,-0.5,0.85039,0,0,0
0.6,10,-0.5,0.84954,0,0,0
0.8,10,-0.5,0.84836,0,0,0
1,10,-0.5,0.84685,0,0,0
1.2,10,-0.5,0.84499,0,0,0
1.4,10,-0.5,0.84281,0,0,0
1.6,10,-0.5,0.84029,0,0,0
1.8,10,-0.5,0.83744,0,0,0
2,10,-0.5,0.83427,0,0,0
2.2,10,-0.5,0.83077,0,0,0
2.4,10,-0.5,0.82694,0,0,0
2.6,10,-0.5,0.8228,0,0,0
2.8,10,-0.5,0.81834,0,0,0
3,10,-0.5,0.81357,0,0,0
3.2,10,-0.5,0.80849,0,0,0
3.4,10,-0.5,0.80311,0,0,0
3.6,10,-0.5,0.79743,0,0,0
3.8,10,-0.5,0.79145,0,0,0
4,10,-0.5,0.78519,0,0,0
4.2,10,-0.5,0.77864,0,0,0
4.4,10,-0.5,0.77181,0,0,0
4.6,10,-0.5,0.76471,0,0,0
4.8,10,-0.5,0.75734,0,0,0
5,10,-0.5,0.74972,0,0,0
5.2,10,-0.5,0.74184,0,0,0
5.4,10,-0.5,0.73372,0,0,0
5.6,10,-0.5,0.72536,0,0,0
5.8,10,-0.5,0.71677,0,0,0
6,10,-0.5,0.70796,0,0,0
6.2,10,-0.5,0.69893,0,0,0
6.4,10,-0.5,0.6897,0,0,0
6.6,10,-0.5,0.68028,0,0,0
6.8,10,-0.5,0.67067,0,0,0
7,10,-0.5,0.66088,0,0,0
7.2,10,-0.5,0.65093,0,0,0
7.4,10,-0.5,0.64082,0,0,0
7.6,10,-0.5,0.63056,0,0,0
7.8,10,-0.5,0.62017,0,0,0
8,10,-0.5,0.60965,0,0,0
8.2,10,-0.5,0.59901,0,0,0
8.4,10,-0.5,0.58828,0,0,0
8.6,10,-0.5,0.57745,0,0,0
8.8,10,-0.5,0.56653,0,0,0
9,10,-0.5,0.55555,0,0,0
9.2,10,-0.5,0.54451,0,0,0
9.4,10,-0.5,0.53342,0,0,0
9.6,10,-0.5,0.5223,0,0,0
9.8,10,-0.5,0.51116,0,0,0
10,10,-0.5,0.5,0,0,0
10.2,10,-0.5,0.48884,0,0,0
10.4,10,-0.5,0.47769,0,0,0
10.6,10,-0.5,0.46657,0,0,0
10.8,10,-0.5,0.45549,0,0,0
11,10,-0.5,0.44445,0,0,0
11.2,10,-0.5,0.43346,0,0,0
11.4,10,-0.5,0.42255,0,0,0
11.6,10,-0.5,0.41172,0,0,0
11.8,10,-0.5,0.40098,0,0,0
12,10,-0.5,0.39035,0,0,0
12.2,10,-0.5,0.37983,0,0,0
12.4,10,-0.5,0.36944,0,0,0
12.6,10,-0.5,0.35918,0,0,0
12.8,10,-0.5,0.34907,0,0,0
13,10,-0.5,0.33912,0,0,0
13.2,10,-0.5,0.32933,0,0,0
13.4,10,-0.5,0.31972,0,0,0
13.6,10,-0.5,0.3103,0,0,0
13.8,10,-0.5,0.30107,0,0,0
14,10,-0.5,0.29204,0,0,0
14.2,10,-0.5,0.28323,0,0,0
14.4,10,-0.5,0.27464,0,0,0
14.6,10,-0.5,0.26628,0,0,0
14.8,10,-0.5,0.25816,0,0,0
15,10,-0.5,0.25028,0,0,0
15.2,10,-0.5,0.24266,0,0,0
15.4,10,-0.5,0.23529,0,0,0
15.6,10,-0.5,0.22819,0,0,0
15.8,10,-0.5,0.22136,0,0,0
16,10,-0.5,0.21481,0,0,0
16.2,10,-0.5,0.20855,0,0,0
16.4,10,-0.5,0.20257,0,0,0
16.6,10,-0.5,0.19689,0,0,0
16.8,10,-0.5,0.19151,0,0,0
17,10,-0.5,0.18643,0,0,0
17.2,10,-0.5,0.18166,0,0,0
17.4,10,-0.5,0.1772,0,0,0
17.6,10,-0.5,0.17306,0,0,0
17.8,10,-0.5,0.16924,0,0,0
18,10,-0.5,0.16574,0,0,0
18.2,10,-0.5,0.16256,0,0,0
18.4,10,-0.5,0.15972,0,0,0
18.6,10,-0.5,0.1572,0,0,0
18.8,10,-0.5,0.15501,0,0,0
19,10,-0.5,0.15316,0,0,0
19.2,10,-0.5,0.15165,0,0,0
19.4,10,-0.5,0.15047,0,0,0
19.6,10,-0.5,0.14962,0,0,0
19.8,10,-0.5,0.14912,0,0,0
20,10,-0.5,0.14895,0,0,0
0,0,0.5,0.85106,0,0,0
0.2,0,0.5,0.8509,0,0,0
0.4,0,0.5,0.85039,0,0,0
0.6,0,0.5,0.84955,0,0,0
0.8,0,0.5,0.84837,0,0,0
1,0,0.5,0.84685,0,0,0
1.2,0,0.5,0.845,0,0,0
1.4,0,0.5,0.84281,0,0,0
1.6,0,0.5,0.8403,0,0,0
1.8,0,0.5,0.83745,0,0,0
2,0,0.5,0.83427,0,0,0
2.2,0,0.5,0.83077,0,0,0
2.4,0,0.5,0.82695,0,0,0
2.6,0,0.5,0.82281,0,0,0
2.8,0,0.5,0.81835,0,0,0
3,0,0.5,0.81358,0,0,0
3.2,0,0.5,0.8085,0,0,0
3.4,0,0.5,0.80312,0,0,0
3.6,0,0.5,0.79744,0,0,0
3.8,0,0.5,0.79146,0,0,0
4,0,0.5,0.7852,0,0,0
4.2,0,0.5,0.77865,0,0,0
4.4,0,0.5,0.77182,0,0,0
4.6,0,0.5,0.76472,0,0,0
4.8,0,0.5,0.75735,0,0,0
5,0,0.5,0.74972,0,0,0
5.2,0,0.5,0.74185,0,0,0
5.4,0,0.5,0.73372,0,0,0
5.6,0,0.5,0.72536,0,0,0
5.8,0,0.5,0.71677,0,0,0
6,0,0.5,0.70796,0,0,0
6.2,0,0.5,0.69894,0,0,0
6.4,0,0.5,0.68971,0,0,0
6.6,0,0.5,0.68029,0,0,0
6.8,0,0.5,0.67068,0,0,0
7,0,0.5,0.66089,0,0,0
7.2,0,0.5,0.65093,0,0,0
7.4,0,0.5,0.64082,0,0,0
7.6,0,0.5,0.63057,0,0,0
7.8,0,0.5,0.62017,0,0,0
8,0,0.5,0.60965,0,0,0
8.2,0,0.5,0.59902,0,0,0
8.4,0,0.5,0.58828,0,0,0
8.6,0,0.5,0.57745,0,0,0
8.8,0,0.5,0.56654,0,0,0
9,0,0.5,0.55556,0,0,0
9.2,0,0.5,0.54452,0,0,0
9.4,0,0.5,0.53343,0,0,0
9.6,0,0.5,0.52231,0,0,0
9.8,0,0.5,0.51116,0,0,0
10,0,0.5,0.5,0,0,0
10.2,0,0.5,0.48884,0,0,0
10.4,0,0.5,0.4777,0,0,0
10.6,0,0.5,0.46657,0,0,0
10.8,0,0.5,0.45549,0,0,0
11,0,0.5,0.44445,0,0,0
11.2,0,0.5,0.43347,0,0,0
11.4,0,0.5,0.42255,0,0,0
11.6,0,0.5,0.41172,0,0,0
11.8,0,0.5,0.40098,0,0,0
12,0,0.5,0.39035,0,0,0
12.2,0,0.5,0.37983,0,0,0
12.4,0,0.5,0.36944,0,0,0
12.6,0,0.5,0.35918,0,0,0
12.8,0,0.5,0.34907,0,0,0
13,0,0.5,0.33912,0,0,0
13.2,0,0.5,0.32933,0,0,0
13.4,0,0.5,0.31972,0,0,0
13.6,0,0.5,0.31029,0,0,0
13.8,0,0.5,0.30107,0,0,0
14,0,0.5,0.29204,0,0,0
14.2,0,0.5,0.28323,0,0,0
14.4,0,0.5,0.27464,0,0,0
14.6,0,0.5,0.26628,0,0,0
14.8,0,0.5,0.25816,0,0,0
15,0,0.5,0.25028,0,0,0
15.2,0,0.5,0.24265,0,0,0
15.4,0,0.5,0.23529,0,0,0
15.6,0,0.5,0.22819,0,0,0
15.8,0,0.5,0.22136,0,0,0
16,0,0.5,0.21481,0,0,0
16.2,0,0.5,0.20854,0,0,0
16.4,0,0.5,0.20257,0,0,0
16.6,0,0.5,0.19688,0,0,0
16.8,0,0.5,0.1915,0,0,0
17,0,0.5,0.18642,0,0,0
17.2,0,0.5,0.18165,0,0,0
17.4,0,0.5,0.1772,0,0,0
17.6,0,0.5,0.17305,0,0,0
17.8,0,0.5,0.16923,0,0,0
18,0,0.5,0.16573,0,0,0
18.2,0,0.5,0.16256,0,0,0
18.4,0,0.5,0.15971,0,0,0
18.6,0,0.5,0.15719,0,0,0
18.8,0,0.5,0.15501,0,0,0
19,0,0.5,0.15315,0,0,0
19.2,0,0.5,0.15164,0,0,0
19.4,0,0.5,0.15046,0,0,0
19.6,0,0.5,0.14961,0,0,0
19.8,0,0.5,0.14911,0,0,0
20,0,0.5,0.14894,0,0,0
0,0.2,0.5,0.85107,0,0,0
0.2,0.2,0.5,0.8509,0,0,0
0.4,0.2,0.5,0.85039,0,0,0
0.6,0.2,0.5,0.84955,0,0,0
0.8,0.2,0.5,0.84837,0,0,0
1,0.2,0.5,0.84685,0,0,0
1.2,0.2,0.5,0.845,0,0,0
1.4,0.2,0.5,0.84281,0,0,0
1.6,0.2,0.5,0.8403,0,0,0
1.8,0.2,0.5,0.83745,0,0,0
2,0.2,0.5,0.83427,0,0,0
2.2,0.2,0.5,0.83077,0,0,0
2.4,0.2,0.5,0.82695,0,0,0
2.6,0.2,0.5,0.82281,0,0,0
2.8,0.2,0.5,0.81835,0,0,0
3,0.2,0.5,0.81358,0,0,0
3.2,0.2,0.5,0.8085,0,0,0
3.4,0.2,0.5,0.80312,0,0,0
3.6,0.2,0.5,0.79744,0,0,0
3.8,0.2,0.5,0.79146,0,0,0
4,0.2,0.5,0.7852,0,0,0
4.2,0.2,0.5,0.77865,0,0,0
4.4,0.2,0.5,0.77182,0,0,0
4.6,0.2,0.5,0.76472,0,0,0
4.8,0.2,0.5,0.75735,0,0,0
5,0.2,0.5,0.74973,0,0,0
5.2,0.2,0.5,0.74185,0,0,0
5.4,0.2,0.5,0.73372,0,0,0
5.6,0.2,0.5,0.72536,0,0,0
5.8,0.2,0.5,0.71677,0,0,0
6,0.2,0.5,0.70796,0,0,0
6.2,0.2,0.5,0.69894,0,0,0
6.4,0.2,0.5,0.68971,0,0,0
6.6,0.2,0.5,0.68029,0,0,0
6.8,0.2,0.5,0.67068,0,0,0
7,0.2,0.5,0.66089,0,0,0
7.2,0.2,0.5,0.65093,0,0,0
7.4,0.2,0.5,0.64082,0,0,0
7.6,0.2,0.5,0.63057,0,0,0
7.8,0.2,0.5,0.62017,0,0,0
8,0.2,0.5,0.60965,0,0,0
8.2,0.2,0.5,0.59902,0,0,0
8.4,0.2,0.5,0.58828,0,0,0
8.6,0.2,0.5,0.57745,0,0,0
8.8,0.2,0.5,0.56654,0,0,0
9,0.2,0.5,0.55556,0,0,0
9.2,0.2,0.5,0.54452,0,0,0
9.4,0.2,0.5,0.53343,0,0,0
9.6,0.2,0.5,0.52231,0,0,0
9.8,0.2,0.5,0.51116,0,0,0
10,0.2,0.5,0.5,0,0,0
10.2,0.2,0.5,0.48884,0,0,0
10.4,0.2,0.5,0.4777,0,0,0
10.6,0.2,0.5,0.46657,0,0,0
10.8,0.2,0.5,0.45549,0,0,0
11,0.2,0.5,0.44445,0,0,0
11.2,0.2,0.5,0.43346,0,0,0
11.4,0.2,0.5,0.42255,0,0,0
11.6,0.2,0.5,0.41172,0,0,0
11.8,0.2,0.5,0.40098,0,0,0
12,0.2,0.5,0.39035,0,0,0
12.2,0.2,0.5,0.37983,0,0,0
12.4,0.2,0.5,0.36944,0,0,0
12.6,0.2,0.5,0.35918,0,0,0
12.8,0.2,0.5,0.34907,0,0,0
13,0.2,0.5,0.33912,0,0,0
13.2,0.2,0.5,0.32933,0,0,0
13.4,0.2,0.5,0.31972,0,0,0
13.6,0.2,0.5,0.31029,0,0,0
13.8,0.2,0.5,0.30107,0,0,0
14,0.2,0.5,0.29204,0,0,0
14.2,0.2,0.5,0.28323,0,0,0
14.4,0.2,0.5,0.27464,0,0,0
14.6,0.2,0.5,0.26628,0,0,0
14.8,0.2,0.5,0.25816,0,0,0
15,0.2,0.5,0.25028,0,0,0
15.2,0.2,0.5,0.24265,0,0,0
15.4,0.2,0.5,0.23529,0,0,0
15.6,0.2,0.5,0.22819,0,0,0
15.8,0.2,0.5,0.22136,0,0,0
16,0.2,0.5,0.21481,0,0,0
16.2,0.2,0.5,0.20854,0,0,0
16.4,0.2,0.5,0.20257,0,0,0
16.6,0.2,0.5,0.19688,0,0,0
16.8,0.2,0.5,0.1915,0,0,0
17,0.2,0.5,0.18642,0,0,0
17.2,0.2,0.5,0.18165,0,0,0
17.4,0.2,0.5,0.17719,0,0,0
17.6,0.2,0.5,0.17305,0,0,0
17.8,0.2,0.5,0.16923,0,0,0
18,0.2,0.5,0.16573,0,0,0
18.2,0.2,0.5,0.16255,0,0,0
18.4,0.2,0.5,0.15971,0,0,0
18.6,0.2,0.5,0.15719,0,0,0
18.8,0.2,0.5,0.155,0,0,0
19,0.2,0.5,0.15315,0,0,0
19.2,0.2,0.5,0.15164,0,0,0
19.4,0.2,0.5,0.15045,0,0,0
19.6,0.2,0.5,0.14961,0,0,0
19.8,0.2,0.5,0.14911,0,0,0
20,0.2,0.5,0.14894,0,0,0
0,0.4,0.5,0.85107,0,0,0
0.2,0.4,0.5,0.8509,0,0,0
0.4,0.4,0.5,0.85039,0,0,0
0.6,0.4,0.5,0.84955,0,0,0
0.8,0.4,0.5,0.84837,0,0,0
1,0.4,0.5,0.84685,0,0,0
1.2,0.4,0.5,0.845,0,0,0
1.4,0.4,0.5,0.84282,0,0,0
1.6,0.4,0.5,0.8403,0,0,0
1.8,0.4,0.5,0.83745,0,0,0
2,0.4,0.5,0.83428,0,0,0
2.2,0.4,0.5,0.83078,0,0,0
2.4,0.4,0.5,0.82695,0,0,0
2.6,0.4,0.5,0.82281,0,0,0
2.8,0.4,0.5,0.81835,0,0,0
3,0.4,0.5,0.81358,0,0,0
3.2,0.4,0.5,0.8085,0,0,0
3.4,0.4,0.5,0.80312,0,0,0
3.6,0.4,0.5,0.79744,0,0,0
3.8,0.4,0.5,0.79146,0,0,0
4,0.4,0.5,0.7852,0,0,0
4.2,0.4,0.5,0.77865,0,0,0
4.4,0.4,0.5,0.77182,0,0,0
4.6,0.4,0.5,0.76472,0,0,0
4.8,0.4,0.5,0.75735,0,0,0
5,0.4,0.5,0.74973,0,0,0
5.2,0.4,0.5,0.74185,0,0,0
5.4,0.4,0.5,0.73373,0,0,0
5.6,0.4,0.5,0.72537,0,0,0
5.8,0.4,0.5,0.71678,0,0,0
6,0.4,0.5,0.70796,0,0,0
6.2,0.4,0.5,0.69894,0,0,0
6.4,0.4,0.5,0.68971,0,0,0
6.6,0.4,0.5,0.68029,0,0,0
6.8,0.4,0.5,0.67068,0,0,0
7,0.4,0.5,0.66089,0,0,0
7.2,0.4,0.5,0.65094,0,0,0
7.4,0.4,0.5,0.64083,0,0,0
7.6,0.4,0.5,0.63057,0,0,0
7.8,0.4,0.5,0.62017,0,0,0
8,0.4,0.5,0.60966,0,0,0
8.2,0.4,0.5,0.59902,0,0,0
8.4,0.4,0.5,0.58828,0,0,0
8.6,0.4,0.5,0.57745,0,0,0
8.8,0.4,0.5,0.56654,0,0,0
9,0.4,0.5,0.55556,0,0,0
9.2,0.4,0.5,0.54452,0,0,0
9.4,0.4,0.5,0.53343,0,0,0
9.6,0.4,0.5,0.52231,0,0,0
9.8,0.4,0.5,0.51116,0,0,0
10,0.4,0.5,0.5,0,0,0
10.2,0.4,0.5,0.48884,0,0,0
10.4,0.4,0.5,0.4777,0,0,0
10.6,0.4,0.5,0.46657,0,0,0
10.8,0.4,0.5,0.45549,0,0,0
11,0.4,0.5,0.44445,0,0,0
11.2,0.4,0.5,0.43346,0,0,0
11.4,0.4,0.5,0.42255,0,0,0
11.6,0.4,0.5,0.41172,0,0,0
11.8,0.4,0.5,0.40098,0,0,0
12,0.4,0.5,0.39035,0,0,0
12.2,0.4,0.5,0.37983,0,0,0
12.4,0.4,0.5,0.36944,0,0,0
12.6,0.4,0.5,0.35918,0,0,0
12.8,0.4,0.5,0.34907,0,0,0
13,0.4,0.5,0.33911,0,0,0
13.2,0.4,0.5,0.32933,0,0,0
13.4,0.4,0.5,0.31972,0,0,0
13.6,0.4,0.5,0.31029,0,0,0
13.8,0.4,0.5,0.30106,0,0,0
14,0.4,0.5,0.29204,0,0,0
14.2,0.4,0.5,0.28323,0,0,0
14.4,0.4,0.5,0.27464,0,0,0
14.6,0.4,0.5,0.26628,0,0,0
14.8,0.4,0.5,0.25815,0,0,0
15,0.4,0.5,0.25028,0,0,0
15.2,0.4,0.5,0.24265,0,0,0
15.4,0.4,0.5,0.23528,0,0,0
15.6,0.4,0.5,0.22818,0,0,0
15.8,0.4,0.5,0.22136,0,0,0
16,0.4,0.5,0.21481,0,0,0
16.2,0.4,0.5,0.20854,0,0,0
16.4,0.4,0.5,0.20256,0,0,0
16.6,0.4,0.5,0.19688,0,0,0
16.8,0.4,0.5,0.1915,0,0,0
17,0.4,0.5,0.18642,0,0,0
17.2,0.4,0.5,0.18165,0,0,0
17.4,0.4,0.5,0.17719,0,0,0
17.6,0.4,0.5,0.17305,0,0,0
17.8,0.4,0.5,0.16923,0,0,0
18,0.4,0.5,0.16573,0,0,0
18.2,0.4,0.5,0.16255,0,0,0
18.4,0.4,0.5,0.15971,0,0,0
18.6,0.4,0.5,0.15719,0,0,0
18.8,0.4,0.5,0.155,0,0,0
19,0.4,0.5,0.15315,0,0,0
19.2,0.4,0.5,0.15163,0,0,0
19.4,0.4,0.5,0.15045,0,0,0
19.6,0.4,0.5,0.14961,0,0,0
19.8,0.4,0.5,0.1491,0,0,0
20,0.4,0.5,0.14894,0,0,0
0,0.6,0.5,0.85107,0,0,0
0.2,0.6,0.5,0.8509,0,0,0
0.4,0.6,0.5,0.8504,0,0,0
0.6,0.6,0.5,0.84955,0,0,0
0.8,0.6,0.5,0.84837,0,0,0
1,0.6,0.5,0.84686,0,0,0
1.2,0.6,0.5,0.845,0,0,0
1.4,0.6,0.5,0.84282,0,0,0
1.6,0.6,0.5,0.8403,0,0,0
1.8,0.6,0.5,0.83745,0,0,0
2,0.6,0.5,0.83428,0,0,0
2.2,0.6,0.5,0.83078,0,0,0
2.4,0.6,0.5,0.82695,0,0,0
2.6,0.6,0.5,0.82281,0,0,0
2.8,0.6,0.5,0.81835,0,0,0
3,0.6,0.5,0.81358,0,0,0
3.2,0.6,0.5,0.80851,0,0,0
3.4,0.6,0.5,0.80312,0,0,0
3.6,0.6,0.5,0.79744,0,0,0
3.8,0.6,0.5,0.79147,0,0,0
4,0.6,0.5,0.7852,0,0,0
4.2,0.6,0.5,0.77865,0,0,0
4.4,0.6,0.5,0.77182,0,0,0
4.6,0.6,0.5,0.76472,0,0,0
4.8,0.6,0.5,0.75735,0,0,0
5,0.6,0.5,0.74973,0,0,0
5.2,0.6,0.5,0.74185,0,0,0
5.4,0.6,0.5,0.73373,0,0,0
5.6,0.6,0.5,0.72537,0,0,0
5.8,0.6,0.5,0.71678,0,0,0
6,0.6,0.5,0.70797,0,0,0
6.2,0.6,0.5,0.69894,0,0,0
6.4,0.6,0.5,0.68971,0,0,0
6.6,0.6,0.5,0.68029,0,0,0
6.8,0.6,0.5,0.67068,0,0,0
7,0.6,0.5,0.66089,0,0,0
7.2,0.6,0.5,0.65094,0,0,0
7.4,0.6,0.5,0.64083,0,0,0
7.6,0.6,0.5,0.63057,0,0,0
7.8,0.6,0.5,0.62018,0,0,0
8,0.6,0.5,0.60966,0,0,0
8.2,0.6,0.5,0.59902,0,0,0
8.4,0.6,0.5,0.58828,0,0,0
8.6,0.6,0.5,0.57745,0,0,0
8.8,0.6,0.5,0.56654,0,0,0
9,0.6,0.5,0.55556,0,0,0
9.2,0.6,0.5,0.54452,0,0,0
9.4,0.6,0.5,0.53343,0,0,0
9.6,0.6,0.5,0.52231,0,0,0
9.8,0.6,0.5,0.51116,0,0,0
10,0.6,0.5,0.5,0,0,0
10.2,0.6,0.5,0.48884,0,0,0
10.4,0.6,0.5,0.4777,0,0,0
10.6,0.6,0.5,0.46657,0,0,0
10.8,0.6,0.5,0.45549,0,0,0
11,0.6,0.5,0.44445,0,0,0
11.2,0.6,0.5,0.43346,0,0,0
11.4,0.6,0.5,0.42255,0,0,0
11.6,0.6,0.5,0.41172,0,0,0
11.8,0.6,0.5,0.40098,0,0,0
12,0.6,0.5,0.39035,0,0,0
12.2,0.6,0.5,0.37983,0,0,0
12.4,0.6,0.5,0.36944,0,0,0
12.6,0.6,0.5,0.35918,0,0,0
12.8,0.6,0.5,0.34907,0,0,0
13,0.6,0.5,0.33911,0,0,0
13.2,0.6,0.5,0.32933,0,0,0
13.4,0.6,0.5,0.31972,0,0,0
