"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
14,9.6,-0.5,0.41485,0,0,0
14.2,9.6,-0.5,0.41121,0,0,0
14.4,9.6,-0.5,0.40766,0,0,0
14.6,9.6,-0.5,0.4042,0,0,0
14.8,9.6,-0.5,0.40083,0,0,0
15,9.6,-0.5,0.39756,0,0,0
15.2,9.6,-0.5,0.3944,0,0,0
15.4,9.6,-0.5,0.39134,0,0,0
15.6,9.6,-0.5,0.38838,0,0,0
15.8,9.6,-0.5,0.38554,0,0,0
16,9.6,-0.5,0.3828,0,0,0
16.2,9.6,-0.5,0.38019,0,0,0
16.4,9.6,-0.5,0.37769,0,0,0
16.6,9.6,-0.5,0.37531,0,0,0
16.8,9.6,-0.5,0.37306,0,0,0
17,9.6,-0.5,0.37093,0,0,0
17.2,9.6,-0.5,0.36893,0,0,0
17.4,9.6,-0.5,0.36705,0,0,0
17.6,9.6,-0.5,0.36531,0,0,0
17.8,9.6,-0.5,0.36371,0,0,0
18,9.6,-0.5,0.36223,0,0,0
18.2,9.6,-0.5,0.36089,0,0,0
18.4,9.6,-0.5,0.35969,0,0,0
18.6,9.6,-0.5,0.35863,0,0,0
18.8,9.6,-0.5,0.35771,0,0,0
19,9.6,-0.5,0.35693,0,0,0
19.2,9.6,-0.5,0.35629,0,0,0
19.4,9.6,-0.5,0.35579,0,0,0
19.6,9.6,-0.5,0.35543,0,0,0
19.8,9.6,-0.5,0.35522,0,0,0
20,9.6,-0.5,0.35515,0,0,0
0,9.8,-0.5,0.64486,0,0,0
0.2,9.8,-0.5,0.64479,0,0,0
0.4,9.8,-0.5,0.64458,0,0,0
0.6,9.8,-0.5,0.64422,0,0,0
0.8,9.8,-0.5,0.64372,0,0,0
1,9.8,-0.5,0.64308,0,0,0
1.2,9.8,-0.5,0.6423,0,0,0
1.4,9.8,-0.5,0.64138,0,0,0
1.6,9.8,-0.5,0.64031,0,0,0
1.8,9.8,-0.5,0.63911,0,0,0
2,9.8,-0.5,0.63778,0,0,0
2.2,9.8,-0.5,0.6363,0,0,0
2.4,9.8,-0.5,0.63469,0,0,0
2.6,9.8,-0.5,0.63295,0,0,0
2.8,9.8,-0.5,0.63108,0,0,0
3,9.8,-0.5,0.62908,0,0,0
3.2,9.8,-0.5,0.62695,0,0,0
3.4,9.8,-0.5,0.6247,0,0,0
3.6,9.8,-0.5,0.62232,0,0,0
3.8,9.8,-0.5,0.61982,0,0,0
4,9.8,-0.5,0.6172,0,0,0
4.2,9.8,-0.5,0.61447,0,0,0
4.4,9.8,-0.5,0.61163,0,0,0
4.6,9.8,-0.5,0.60867,0,0,0
4.8,9.8,-0.5,0.60561,0,0,0
5,9.8,-0.5,0.60244,0,0,0
5.2,9.8,-0.5,0.59917,0,0,0
5.4,9.8,-0.5,0.59581,0,0,0
5.6,9.8,-0.5,0.59235,0,0,0
5.8,9.8,-0.5,0.58879,0,0,0
6,9.8,-0.5,0.58516,0,0,0
6.2,9.8,-0.5,0.58143,0,0,0
6.4,9.8,-0.5,0.57763,0,0,0
6.6,9.8,-0.5,0.57375,0,0,0
6.8,9.8,-0.5,0.5698,0,0,0
7,9.8,-0.5,0.56577,0,0,0
7.2,9.8,-0.5,0.56169,0,0,0
7.4,9.8,-0.5,0.55754,0,0,0
7.6,9.8,-0.5,0.55333,0,0,0
7.8,9.8,-0.5,0.54908,0,0,0
8,9.8,-0.5,0.54477,0,0,0
8.2,9.8,-0.5,0.54042,0,0,0
8.4,9.8,-0.5,0.53603,0,0,0
8.6,9.8,-0.5,0.53161,0,0,0
8.8,9.8,-0.5,0.52715,0,0,0
9,9.8,-0.5,0.52267,0,0,0
9.2,9.8,-0.5,0.51816,0,0,0
9.4,9.8,-0.5,0.51364,0,0,0
9.6,9.8,-0.5,0.5091,0,0,0
9.8,9.8,-0.5,0.50455,0,0,0
10,9.8,-0.5,0.5,0,0,0
10.2,9.8,-0.5,0.49545,0,0,0
10.4,9.8,-0.5,0.49091,0,0,0
10.6,9.8,-0.5,0.48637,0,0,0
10.8,9.8,-0.5,0.48184,0,0,0
11,9.8,-0.5,0.47734,0,0,0
11.2,9.8,-0.5,0.47286,0,0,0
11.4,9.8,-0.5,0.4684,0,0,0
11.6,9.8,-0.5,0.46397,0,0,0
11.8,9.8,-0.5,0.45958,0,0,0
12,9.8,-0.5,0.45523,0,0,0
12.2,9.8,-0.5,0.45093,0,0,0
12.4,9.8,-0.5,0.44667,0,0,0
12.6,9.8,-0.5,0.44247,0,0,0
12.8,9.8,-0.5,0.43832,0,0,0
13,9.8,-0.5,0.43423,0,0,0
13.2,9.8,-0.5,0.43021,0,0,0
13.4,9.8,-0.5,0.42626,0,0,0
13.6,9.8,-0.5,0.42238,0,0,0
13.8,9.8,-0.5,0.41857,0,0,0
14,9.8,-0.5,0.41485,0,0,0
14.2,9.8,-0.5,0.41121,0,0,0
14.4,9.8,-0.5,0.40766,0,0,0
14.6,9.8,-0.5,0.4042,0,0,0
14.8,9.8,-0.5,0.40083,0,0,0
15,9.8,-0.5,0.39757,0,0,0
15.2,9.8,-0.5,0.3944,0,0,0
15.4,9.8,-0.5,0.39134,0,0,0
15.6,9.8,-0.5,0.38838,0,0,0
15.8,9.8,-0.5,0.38554,0,0,0
16,9.8,-0.5,0.3828,0,0,0
16.2,9.8,-0.5,0.38019,0,0,0
16.4,9.8,-0.5,0.37769,0,0,0
16.6,9.8,-0.5,0.37531,0,0,0
16.8,9.8,-0.5,0.37306,0,0,0
17,9.8,-0.5,0.37093,0,0,0
17.2,9.8,-0.5,0.36893,0,0,0
17.4,9.8,-0.5,0.36705,0,0,0
17.6,9.8,-0.5,0.36531,0,0,0
17.8,9.8,-0.5,0.36371,0,0,0
18,9.8,-0.5,0.36223,0,0,0
18.2,9.8,-0.5,0.3609,0,0,0
18.4,9.8,-0.5,0.3597,0,0,0
18.6,9.8,-0.5,0.35863,0,0,0
18.8,9.8,-0.5,0.35771,0,0,0
19,9.8,-0.5,0.35693,0,0,0
19.2,9.8,-0.5,0.35629,0,0,0
19.4,9.8,-0.5,0.35579,0,0,0
19.6,9.8,-0.5,0.35544,0,0,0
19.8,9.8,-0.5,0.35522,0,0,0
20,9.8,-0.5,0.35515,0,0,0
0,10,-0.5,0.64486,0,0,0
0.2,10,-0.5,0.64479,0,0,0
0.4,10,-0.5,0.64458,0,0,0
0.6,10,-0.5,0.64422,0,0,0
0.8,10,-0.5,0.64372,0,0,0
1,10,-0.5,0.64308,0,0,0
1.2,10,-0.5,0.6423,0,0,0
1.4,10,-0.5,0.64137,0,0,0
1.6,10,-0.5,0.64031,0,0,0
1.8,10,-0.5,0.63911,0,0,0
2,10,-0.5,0.63778,0,0,0
2.2,10,-0.5,0.6363,0,0,0
2.4,10,-0.5,0.63469,0,0,0
2.6,10,-0.5,0.63295,0,0,0
2.8,10,-0.5,0.63108,0,0,0
3,10,-0.5,0.62908,0,0,0
3.2,10,-0.5,0.62695,0,0,0
3.4,10,-0.5,0.6247,0,0,0
3.6,10,-0.5,0.62232,0,0,0
3.8,10,-0.5,0.61982,0,0,0
4,10,-0.5,0.6172,0,0,0
4.2,10,-0.5,0.61447,0,0,0
4.4,10,-0.5,0.61163,0,0,0
4.6,10,-0.5,0.60867,0,0,0
4.8,10,-0.5,0.60561,0,0,0
5,10,-0.5,0.60244,0,0,0
5.2,10,-0.5,0.59917,0,0,0
5.4,10,-0.5,0.59581,0,0,0
5.6,10,-0.5,0.59235,0,0,0
5.8,10,-0.5,0.58879,0,0,0
6,10,-0.5,0.58516,0,0,0
6.2,10,-0.5,0.58143,0,0,0
6.4,10,-0.5,0.57763,0,0,0
6.6,10,-0.5,0.57375,0,0,0
6.8,10,-0.5,0.5698,0,0,0
7,10,-0.5,0.56577,0,0,0
7.2,10,-0.5,0.56169,0,0,0
7.4,10,-0.5,0.55754,0,0,0
7.6,10,-0.5,0.55333,0,0,0
7.8,10,-0.5,0.54908,0,0,0
8,10,-0.5,0.54477,0,0,0
8.2,10,-0.5,0.54042,0,0,0
8.4,10,-0.5,0.53603,0,0,0
8.6,10,-0.5,0.53161,0,0,0
8.8,10,-0.5,0.52715,0,0,0
9,10,-0.5,0.52267,0,0,0
9.2,10,-0.5,0.51816,0,0,0
9.4,10,-0.5,0.51364,0,0,0
9.6,10,-0.5,0.5091,0,0,0
9.8,10,-0.5,0.50455,0,0,0
10,10,-0.5,0.5,0,0,0
10.2,10,-0.5,0.49545,0,0,0
10.4,10,-0.5,0.49091,0,0,0
10.6,10,-0.5,0.48637,0,0,0
10.8,10,-0.5,0.48184,0,0,0
11,10,-0.5,0.47734,0,0,0
11.2,10,-0.5,0.47286,0,0,0
11.4,10,-0.5,0.4684,0,0,0
11.6,10,-0.5,0.46397,0,0,0
11.8,10,-0.5,0.45958,0,0,0
12,10,-0.5,0.45523,0,0,0
12.2,10,-0.5,0.45093,0,0,0
12.4,10,-0.5,0.44667,0,0,0
12.6,10,-0.5,0.44247,0,0,0
12.8,10,-0.5,0.43832,0,0,0
13,10,-0.5,0.43423,0,0,0
13.2,10,-0.5,0.43021,0,0,0
13.4,10,-0.5,0.42626,0,0,0
13.6,10,-0.5,0.42238,0,0,0
13.8,10,-0.5,0.41857,0,0,0
14,10,-0.5,0.41485,0,0,0
14.2,10,-0.5,0.41121,0,0,0
14.4,10,-0.5,0.40766,0,0,0
14.6,10,-0.5,0.4042,0,0,0
14.8,10,-0.5,0.40083,0,0,0
15,10,-0.5,0.39757,0,0,0
15.2,10,-0.5,0.3944,0,0,0
15.4,10,-0.5,0.39134,0,0,0
15.6,10,-0.5,0.38838,0,0,0
15.8,10,-0.5,0.38554,0,0,0
16,10,-0.5,0.3828,0,0,0
16.2,10,-0.5,0.38019,0,0,0
16.4,10,-0.5,0.37769,0,0,0
16.6,10,-0.5,0.37531,0,0,0
16.8,10,-0.5,0.37306,0,0,0
17,10,-0.5,0.37093,0,0,0
17.2,10,-0.5,0.36893,0,0,0
17.4,10,-0.5,0.36706,0,0,0
17.6,10,-0.5,0.36531,0,0,0
17.8,10,-0.5,0.36371,0,0,0
18,10,-0.5,0.36223,0,0,0
18.2,10,-0.5,0.3609,0,0,0
18.4,10,-0.5,0.3597,0,0,0
18.6,10,-0.5,0.35863,0,0,0
18.8,10,-0.5,0.35771,0,0,0
19,10,-0.5,0.35693,0,0,0
19.2,10,-0.5,0.35629,0,0,0
19.4,10,-0.5,0.35579,0,0,0
19.6,10,-0.5,0.35544,0,0,0
19.8,10,-0.5,0.35522,0,0,0
20,10,-0.5,0.35515,0,0,0
0,0,0.5,0.64486,0,0,0
0.2,0,0.5,0.64479,0,0,0
0.4,0,0.5,0.64458,0,0,0
0.6,0,0.5,0.64422,0,0,0
0.8,0,0.5,0.64372,0,0,0
1,0,0.5,0.64308,0,0,0
1.2,0,0.5,0.6423,0,0,0
1.4,0,0.5,0.64138,0,0,0
1.6,0,0.5,0.64032,0,0,0
1.8,0,0.5,0.63912,0,0,0
2,0,0.5,0.63778,0,0,0
2.2,0,0.5,0.63631,0,0,0
2.4,0,0.5,0.6347,0,0,0
2.6,0,0.5,0.63296,0,0,0
2.8,0,0.5,0.63108,0,0,0
3,0,0.5,0.62908,0,0,0
3.2,0,0.5,0.62695,0,0,0
3.4,0,0.5,0.6247,0,0,0
3.6,0,0.5,0.62232,0,0,0
3.8,0,0.5,0.61982,0,0,0
4,0,0.5,0.61721,0,0,0
4.2,0,0.5,0.61447,0,0,0
4.4,0,0.5,0.61163,0,0,0
4.6,0,0.5,0.60867,0,0,0
4.8,0,0.5,0.60561,0,0,0
5,0,0.5,0.60244,0,0,0
5.2,0,0.5,0.59918,0,0,0
5.4,0,0.5,0.59581,0,0,0
5.6,0,0.5,0.59235,0,0,0
5.8,0,0.5,0.5888,0,0,0
6,0,0.5,0.58516,0,0,0
6.2,0,0.5,0.58143,0,0,0
6.4,0,0.5,0.57763,0,0,0
6.6,0,0.5,0.57375,0,0,0
6.8,0,0.5,0.5698,0,0,0
7,0,0.5,0.56578,0,0,0
7.2,0,0.5,0.56169,0,0,0
7.4,0,0.5,0.55754,0,0,0
7.6,0,0.5,0.55334,0,0,0
7.8,0,0.5,0.54908,0,0,0
8,0,0.5,0.54477,0,0,0
8.2,0,0.5,0.54042,0,0,0
8.4,0,0.5,0.53603,0,0,0
8.6,0,0.5,0.53161,0,0,0
8.8,0,0.5,0.52715,0,0,0
9,0,0.5,0.52267,0,0,0
9.2,0,0.5,0.51816,0,0,0
9.4,0,0.5,0.51364,0,0,0
9.6,0,0.5,0.5091,0,0,0
9.8,0,0.5,0.50455,0,0,0
10,0,0.5,0.5,0,0,0
10.2,0,0.5,0.49545,0,0,0
10.4,0,0.5,0.49091,0,0,0
10.6,0,0.5,0.48637,0,0,0
10.8,0,0.5,0.48185,0,0,0
11,0,0.5,0.47734,0,0,0
11.2,0,0.5,0.47286,0,0,0
11.4,0,0.5,0.4684,0,0,0
11.6,0,0.5,0.46397,0,0,0
11.8,0,0.5,0.45958,0,0,0
12,0,0.5,0.45523,0,0,0
12.2,0,0.5,0.45093,0,0,0
12.4,0,0.5,0.44667,0,0,0
12.6,0,0.5,0.44247,0,0,0
12.8,0,0.5,0.43832,0,0,0
13,0,0.5,0.43423,0,0,0
13.2,0,0.5,0.43021,0,0,0
13.4,0,0.5,0.42626,0,0,0
13.6,0,0.5,0.42238,0,0,0
13.8,0,0.5,0.41857,0,0,0
14,0,0.5,0.41485,0,0,0
14.2,0,0.5,0.41121,0,0,0
14.4,0,0.5,0.40766,0,0,0
14.6,0,0.5,0.4042,0,0,0
14.8,0,0.5,0.40083,0,0,0
15,0,0.5,0.39756,0,0,0
15.2,0,0.5,0.3944,0,0,0
15.4,0,0.5,0.39133,0,0,0
15.6,0,0.5,0.38838,0,0,0
15.8,0,0.5,0.38553,0,0,0
16,0,0.5,0.3828,0,0,0
16.2,0,0.5,0.38019,0,0,0
16.4,0,0.5,0.37769,0,0,0
16.6,0,0.5,0.37531,0,0,0
16.8,0,0.5,0.37305,0,0,0
17,0,0.5,0.37093,0,0,0
17.2,0,0.5,0.36892,0,0,0
17.4,0,0.5,0.36705,0,0,0
17.6,0,0.5,0.36531,0,0,0
17.8,0,0.5,0.3637,0,0,0
18,0,0.5,0.36223,0,0,0
18.2,0,0.5,0.36089,0,0,0
18.4,0,0.5,0.35969,0,0,0
18.6,0,0.5,0.35863,0,0,0
18.8,0,0.5,0.35771,0,0,0
19,0,0.5,0.35693,0,0,0
19.2,0,0.5,0.35629,0,0,0
19.4,0,0.5,0.35579,0,0,0
19.6,0,0.5,0.35543,0,0,0
19.8,0,0.5,0.35522,0,0,0
20,0,0.5,0.35515,0,0,0
0,0.2,0.5,0.64486,0,0,0
0.2,0.2,0.5,0.64479,0,0,0
0.4,0.2,0.5,0.64458,0,0,0
0.6,0.2,0.5,0.64422,0,0,0
0.8,0.2,0.5,0.64372,0,0,0
1,0.2,0.5,0.64308,0,0,0
1.2,0.2,0.5,0.6423,0,0,0
1.4,0.2,0.5,0.64138,0,0,0
1.6,0.2,0.5,0.64032,0,0,0
1.8,0.2,0.5,0.63912,0,0,0
2,0.2,0.5,0.63778,0,0,0
2.2,0.2,0.5,0.63631,0,0,0
2.4,0.2,0.5,0.6347,0,0,0
2.6,0.2,0.5,0.63296,0,0,0
2.8,0.2,0.5,0.63108,0,0,0
3,0.2,0.5,0.62908,0,0,0
3.2,0.2,0.5,0.62695,0,0,0
3.4,0.2,0.5,0.6247,0,0,0
3.6,0.2,0.5,0.62232,0,0,0
3.8,0.2,0.5,0.61982,0,0,0
4,0.2,0.5,0.61721,0,0,0
4.2,0.2,0.5,0.61447,0,0,0
4.4,0.2,0.5,0.61163,0,0,0
4.6,0.2,0.5,0.60867,0,0,0
4.8,0.2,0.5,0.60561,0,0,0
5,0.2,0.5,0.60244,0,0,0
5.2,0.2,0.5,0.59918,0,0,0
5.4,0.2,0.5,0.59581,0,0,0
5.6,0.2,0.5,0.59235,0,0,0
5.8,0.2,0.5,0.5888,0,0,0
6,0.2,0.5,0.58516,0,0,0
6.2,0.2,0.5,0.58144,0,0,0
6.4,0.2,0.5,0.57763,0,0,0
6.6,0.2,0.5,0.57375,0,0,0
6.8,0.2,0.5,0.5698,0,0,0
7,0.2,0.5,0.56578,0,0,0
7.2,0.2,0.5,0.56169,0,0,0
7.4,0.2,0.5,0.55754,0,0,0
7.6,0.2,0.5,0.55334,0,0,0
7.8,0.2,0.5,0.54908,0,0,0
8,0.2,0.5,0.54477,0,0,0
8.2,0.2,0.5,0.54042,0,0,0
8.4,0.2,0.5,0.53603,0,0,0
8.6,0.2,0.5,0.53161,0,0,0
8.8,0.2,0.5,0.52715,0,0,0
9,0.2,0.5,0.52267,0,0,0
9.2,0.2,0.5,0.51816,0,0,0
9.4,0.2,0.5,0.51364,0,0,0
9.6,0.2,0.5,0.5091,0,0,0
9.8,0.2,0.5,0.50455,0,0,0
10,0.2,0.5,0.5,0,0,0
10.2,0.2,0.5,0.49545,0,0,0
10.4,0.2,0.5,0.49091,0,0,0
10.6,0.2,0.5,0.48637,0,0,0
10.8,0.2,0.5,0.48185,0,0,0
11,0.2,0.5,0.47734,0,0,0
11.2,0.2,0.5,0.47286,0,0,0
11.4,0.2,0.5,0.4684,0,0,0
11.6,0.2,0.5,0.46397,0,0,0
11.8,0.2,0.5,0.45958,0,0,0
12,0.2,0.5,0.45523,0,0,0
12.2,0.2,0.5,0.45093,0,0,0
12.4,0.2,0.5,0.44667,0,0,0
12.6,0.2,0.5,0.44247,0,0,0
12.8,0.2,0.5,0.43832,0,0,0
13,0.2,0.5,0.43423,0,0,0
13.2,0.2,0.5,0.43021,0,0,0
13.4,0.2,0.5,0.42626,0,0,0
13.6,0.2,0.5,0.42238,0,0,0
13.8,0.2,0.5,0.41857,0,0,0
14,0.2,0.5,0.41485,0,0,0
14.2,0.2,0.5,0.41121,0,0,0
14.4,0.2,0.5,0.40766,0,0,0
14.6,0.2,0.5,0.4042,0,0,0
14.8,0.2,0.5,0.40083,0,0,0
15,0.2,0.5,0.39756,0,0,0
15.2,0.2,0.5,0.3944,0,0,0
15.4,0.2,0.5,0.39133,0,0,0
15.6,0.2,0.5,0.38838,0,0,0
15.8,0.2,0.5,0.38553,0,0,0
16,0.2,0.5,0.3828,0,0,0
16.2,0.2,0.5,0.38019,0,0,0
16.4,0.2,0.5,0.37769,0,0,0
16.6,0.2,0.5,0.37531,0,0,0
16.8,0.2,0.5,0.37305,0,0,0
17,0.2,0.5,0.37093,0,0,0
17.2,0.2,0.5,0.36892,0,0,0
17.4,0.2,0.5,0.36705,0,0,0
17.6,0.2,0.5,0.36531,0,0,0
17.8,0.2,0.5,0.3637,0,0,0
18,0.2,0.5,0.36223,0,0,0
18.2,0.2,0.5,0.36089,0,0,0
18.4,0.2,0.5,0.35969,0,0,0
18.6,0.2,0.5,0.35863,0,0,0
18.8,0.2,0.5,0.35771,0,0,0
19,0.2,0.5,0.35693,0,0,0
19.2,0.2,0.5,0.35629,0,0,0
19.4,0.2,0.5,0.35579,0,0,0
19.6,0.2,0.5,0.35543,0,0,0
19.8,0.2,0.5,0.35522,0,0,0
20,0.2,0.5,0.35515,0,0,0
0,0.4,0.5,0.64486,0,0,0
0.2,0.4,0.5,0.64479,0,0,0
0.4,0.4,0.5,0.64458,0,0,0
0.6,0.4,0.5,0.64422,0,0,0
0.8,0.4,0.5,0.64372,0,0,0
1,0.4,0.5,0.64308,0,0,0
1.2,0.4,0.5,0.6423,0,0,0
1.4,0.4,0.5,0.64138,0,0,0
1.6,0.4,0.5,0.64032,0,0,0
1.8,0.4,0.5,0.63912,0,0,0
2,0.4,0.5,0.63778,0,0,0
2.2,0.4,0.5,0.63631,0,0,0
2.4,0.4,0.5,0.6347,0,0,0
2.6,0.4,0.5,0.63296,0,0,0
2.8,0.4,0.5,0.63108,0,0,0
3,0.4,0.5,0.62908,0,0,0
3.2,0.4,0.5,0.62695,0,0,0
3.4,0.4,0.5,0.6247,0,0,0
3.6,0.4,0.5,0.62232,0,0,0
3.8,0.4,0.5,0.61982,0,0,0
4,0.4,0.5,0.61721,0,0,0
4.2,0.4,0.5,0.61448,0,0,0
4.4,0.4,0.5,0.61163,0,0,0
4.6,0.4,0.5,0.60867,0,0,0
4.8,0.4,0.5,0.60561,0,0,0
5,0.4,0.5,0.60245,0,0,0
5.2,0.4,0.5,0.59918,0,0,0
5.4,0.4,0.5,0.59581,0,0,0
5.6,0.4,0.5,0.59235,0,0,0
5.8,0.4,0.5,0.5888,0,0,0
6,0.4,0.5,0.58516,0,0,0
6.2,0.4,0.5,0.58144,0,0,0
6.4,0.4,0.5,0.57763,0,0,0
6.6,0.4,0.5,0.57375,0,0,0
6.8,0.4,0.5,0.5698,0,0,0
7,0.4,0.5,0.56578,0,0,0
7.2,0.4,0.5,0.56169,0,0,0
7.4,0.4,0.5,0.55754,0,0,0
7.6,0.4,0.5,0.55334,0,0,0
7.8,0.4,0.5,0.54908,0,0,0
8,0.4,0.5,0.54477,0,0,0
8.2,0.4,0.5,0.54042,0,0,0
8.4,0.4,0.5,0.53603,0,0,0
8.6,0.4,0.5,0.53161,0,0,0
8.8,0.4,0.5,0.52715,0,0,0
9,0.4,0.5,0.52267,0,0,0
9.2,0.4,0.5,0.51816,0,0,0
9.4,0.4,0.5,0.51364,0,0,0
9.6,0.4,0.5,0.5091,0,0,0
9.8,0.4,0.5,0.50455,0,0,0
10,0.4,0.5,0.5,0,0,0
10.2,0.4,0.5,0.49545,0,0,0
10.4,0.4,0.5,0.49091,0,0,0
10.6,0.4,0.5,0.48637,0,0,0
10.8,0.4,0.5,0.48185,0,0,0
11,0.4,0.5,0.47734,0,0,0
11.2,0.4,0.5,0.47286,0,0,0
11.4,0.4,0.5,0.4684,0,0,0
11.6,0.4,0.5,0.46397,0,0,0
11.8,0.4,0.5,0.45958,0,0,0
12,0.4,0.5,0.45523,0,0,0
12.2,0.4,0.5,0.45093,0,0,0
12.4,0.4,0.5,0.44667,0,0,0
12.6,0.4,0.5,0.44247,0,0,0
12.8,0.4,0.5,0.43832,0,0,0
13,0.4,0.5,0.43423,0,0,0
13.2,0.4,0.5,0.43021,0,0,0
13.4,0.4,0.5,0.42626,0,0,0
13.6,0.4,0.5,0.42238,0,0,0
13.8,0.4,0.5,0.41857,0,0,0
14,0.4,0.5,0.41485,0,0,0
14.2,0.4,0.5,0.41121,0,0,0
14.4,0.4,0.5,0.40766,0,0,0
14.6,0.4,0.5,0.4042,0,0,0
14.8,0.4,0.5,0.40083,0,0,0
15,0.4,0.5,0.39756,0,0,0
15.2,0.4,0.5,0.3944,0,0,0
15.4,0.4,0.5,0.39133,0,0,0
15.6,0.4,0.5,0.38838,0,0,0
15.8,0.4,0.5,0.38553,0,0,0
16,0.4,0.5,0.3828,0,0,0
16.2,0.4,0.5,0.38018,0,0,0
16.4,0.4,0.5,0.37769,0,0,0
16.6,0.4,0.5,0.37531,0,0,0
16.8,0.4,0.5,0.37305,0,0,0
17,0.4,0.5,0.37093,0,0,0
17.2,0.4,0.5,0.36892,0,0,0
17.4,0.4,0.5,0.36705,0,0,0
17.6,0.4,0.5,0.36531,0,0,0
17.8,0.4,0.5,0.3637,0,0,0
18,0.4,0.5,0.36223,0,0,0
18.2,0.4,0.5,0.36089,0,0,0
18.4,0.4,0.5,0.35969,0,0,0
18.6,0.4,0.5,0.35863,0,0,0
18.8,0.4,0.5,0.35771,0,0,0
19,0.4,0.5,0.35693,0,0,0
19.2,0.4,0.5,0.35629,0,0,0
19.4,0.4,0.5,0.35579,0,0,0
19.6,0.4,0.5,0.35543,0,0,0
19.8,0.4,0.5,0.35522,0,0,0
20,0.4,0.5,0.35515,0,0,0
0,0.6,0.5,0.64486,0,0,0
0.2,0.6,0.5,0.64479,0,0,0
0.4,0.6,0.5,0.64458,0,0,0
0.6,0.6,0.5,0.64422,0,0,0
0.8,0.6,0.5,0.64372,0,0,0
1,0.6,0.5,0.64308,0,0,0
1.2,0.6,0.5,0.6423,0,0,0
1.4,0.6,0.5,0.64138,0,0,0
1.6,0.6,0.5,0.64032,0,0,0
1.8,0.6,0.5,0.63912,0,0,0
2,0.6,0.5,0.63778,0,0,0
2.2,0.6,0.5,0.63631,0,0,0
2.4,0.6,0.5,0.6347,0,0,0
2.6,0.6,0.5,0.63296,0,0,0
2.8,0.6,0.5,0.63109,0,0,0
3,0.6,0.5,0.62908,0,0,0
3.2,0.6,0.5,0.62695,0,0,0
3.4,0.6,0.5,0.6247,0,0,0
3.6,0.6,0.5,0.62232,0,0,0
3.8,0.6,0.5,0.61982,0,0,0
4,0.6,0.5,0.61721,0,0,0
4.2,0.6,0.5,0.61448,0,0,0
4.4,0.6,0.5,0.61163,0,0,0
4.6,0.6,0.5,0.60868,0,0,0
4.8,0.6,0.5,0.60561,0,0,0
5,0.6,0.5,0.60245,0,0,0
5.2,0.6,0.5,0.59918,0,0,0
5.4,0.6,0.5,0.59581,0,0,0
5.6,0.6,0.5,0.59235,0,0,0
5.8,0.6,0.5,0.5888,0,0,0
6,0.6,0.5,0.58516,0,0,0
6.2,0.6,0.5,0.58144,0,0,0
6.4,0.6,0.5,0.57763,0,0,0
6.6,0.6,0.5,0.57375,0,0,0
6.8,0.6,0.5,0.5698,0,0,0
7,0.6,0.5,0.56578,0,0,0
7.2,0.6,0.5,0.56169,0,0,0
7.4,0.6,0.5,0.55754,0,0,0
7.6,0.6,0.5,0.55334,0,0,0
7.8,0.6,0.5,0.54908,0,0,0
8,0.6,0.5,0.54477,0,0,0
8.2,0.6,0.5,0.54042,0,0,0
8.4,0.6,0.5,0.53603,0,0,0
8.6,0.6,0.5,0.53161,0,0,0
8.8,0.6,0.5,0.52715,0,0,0
9,0.6,0.5,0.52267,0,0,0
9.2,0.6,0.5,0.51816,0,0,0
9.4,0.6,0.5,0.51364,0,0,0
9.6,0.6,0.5,0.5091,0,0,0
9.8,0.6,0.5,0.50455,0,0,0
10,0.6,0.5,0.5,0,0,0
10.2,0.6,0.5,0.49545,0,0,0
10.4,0.6,0.5,0.49091,0,0,0
10.6,0.6,0.5,0.48637,0,0,0
10.8,0.6,0.5,0.48185,0,0,0
11,0.6,0.5,0.47734,0,0,0
11.2,0.6,0.5,0.47286,0,0,0
11.4,0.6,0.5,0.4684,0,0,0
11.6,0.6,0.5,0.46397,0,0,0
11.8,0.6,0.5,0.45958,0,0,0
12,0.6,0.5,0.45523,0,0,0
12.2,0.6,0.5,0.45093,0,0,0
12.4,0.6,0.5,0.44667,0,0,0
12.6,0.6,0.5,0.44247,0,0,0
12.8,0.6,0.5,0.43832,0,0,0
13,0.6,0.5,0.43423,0,0,0
13.2,0.6,0.5,0.43021,0,0,0
13.4,0.6,0.5,0.42626,0,0,0
13.6,0.6,0.5,0.42237,0,0,0
13.8,0.6,0.5,0.41857,0,0,0
14,0.6,0.5,0.41485,0,0,0
14.2,0.6,0.5,0.41121,0,0,0
14.4,0.6,0.5,0.40766,0,0,0
14.6,0.6,0.5,0.4042,0,0,0
14.8,0.6,0.5,0.40083,0,0,0
15,0.6,0.5,0.39756,0,0,0
15.2,0.6,0.5,0.3944,0,0,0
15.4,0.6,0.5,0.39133,0,0,0
15.6,0.6,0.5,0.38838,0,0,0
15.8,0.6,0.5,0.38553,0,0,0
16,0.6,0.5,0.3828,0,0,0
16.2,0.6,0.5,0.38018,0,0,0
16.4,0.6,0.5,0.37769,0,0,0
16.6,0.6,0.5,0.37531,0,0,0
16.8,0.6,0.5,0.37305,0,0,0
17,0.6,0.5,0.37092,0,0,0
17.2,0.6,0.5,0.36892,0,0,0
17.4,0.6,0.5,0.36705,0,0,0
17.6,0.6,0.5,0.36531,0,0,0
17.8,0.6,0.5,0.3637,0,0,0
